kind,url,h1,intro,beforeIntro,introChanged,family,navigationWithoutImages,galleryCount,slideCount,photographyPending,httpStatus,staticResult,errors
"page","/privacy/","Privacy","Review the information on this page about using the Temporary123 website and contacting the business. For questions about information you provide during a rental inquiry, contact the team using the published telephone number.","This website provides information about Temporary123 services. Calling the published telephone number connects you directly with the business.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/equipment-rental/","Nationwide Temporary Facility and Equipment Rental","Compare Temporary123 equipment by its named product type and configuration. The directory separates kitchen trailers, cold storage, hygiene facilities, accommodation and site-support equipment. Review the photograph or labelled layout for each entry, then confirm the actual available unit, utilities and delivery requirements.","Compare equipment layouts and explore the facilities your operation needs. Confirm availability, access and connections with our team before selecting a unit.","true","unspecified","false","8","34","true","200","PASS","[]"
"page","/20ft-refrigeration-trailers/","20ft Refrigeration Trailer Rental","The 20ft Refrigeration Trailer option provides trailer-based refrigerated storage for temperature-sensitive supplies. Confirm temperature requirements, usable volume, loading access, electrical supply and trailer delivery space.","The 20ft Refrigeration Trailer provides temporary refrigerated or frozen storage. The reference describes adjustable temperature control and shelving configurations for different storage needs.","true","refrigerated-trailer","false","1","5","false","200","PASS","[]"
"page","/26ft-military-bulk-kitchen/","26ft Military Bulk Kitchen","Review the 26ft Military Bulk Kitchen reference for temporary high-volume food preparation. Match the proposed cooking workflow to the menu, meal periods and service volume, then confirm the actual unit length, appliance specification, utilities and transport requirements. Photographs of other kitchen sizes do not establish this model.","Explore our service areas","true","mobile-kitchen","false","0","0","false","200","PASS","[]"
"page","/2800-correctional-facilities-series/","2800 Correctional Facilities Series","Review the 2800 Correctional Facilities Series as a modular workspace option for a correctional-site project. Define staff activities, occupancy, access controls and the required room arrangement, then confirm the actual building specification, installation requirements and facility approvals with the project team.","Are you searching for a dynamic and effective workspace solution? Look no further than our cutting-edge 24’x60’ Modular Office Building, now part of the 2800 Correctional Facilities Series. At Temporary123, we recognize the significance of a well-crafted and efficient workspace, and our modular office building is meticulously designed to cater to your specific requirements.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/2800-military-series/","2800 Military Series","Review the 2800 Military Series modular workspace reference for an operational project. Specify working areas, staffing, communications, power and access requirements, then confirm the actual layout and installation scope. The series name and imagery do not establish a particular mission capability or approval.","Are you seeking an innovative and efficient workspace solution tailored specifically for military operations? Enter our groundbreaking Modular Office Building, now prominently featured in the 2800 Military Series at Temporary123. Recognizing the paramount importance of a well-designed and functional workspace in military settings, our modular office solution is meticulously crafted to meet the unique demands of tactical operations.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/4000-correctional-facilities-series/","4000 Correctional Facilities Series","Review the 4000 Correctional Facilities Series reference for a correctional-site space requirement. Confirm the actual modular layout, intended staff activities, occupancy, utilities and controlled access before planning installation. This page does not establish security performance or project approval.","","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/4000-military-series/","4000 Military Series","Review the 4000 Military Series modular workspace option against your operational brief. Define staff functions, room arrangement, communications, utilities and delivery constraints, then confirm the actual configuration and installation scope with the project team.","Are you actively seeking a groundbreaking solution tailored explicitly for military operations? Look no further than our advanced Modular Office Building, prominently featured in the 4000 Military Series at Temporary123. This series is meticulously engineered to address the distinctive demands of tactical operations, providing a workspace that goes beyond conventional standards.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/40ft-military-bulk-kitchen/","40ft Military Bulk Kitchen","Review the 40ft Military Bulk Kitchen option for bulk meal preparation in a temporary feeding operation. Confirm the actual cooking line, batch-production equipment, preparation space, utilities and delivery footprint against your menu and meal volume. Reference images do not establish current availability or a military specification.","Are you in search of a cutting-edge culinary solution designed specifically for military operations? Look no further than our state-of-the-art 40ft Military Bulk Kitchen at Temporary123. We understand the critical importance of an efficiently designed and functional culinary workspace in military settings, and our bulk kitchen is meticulously crafted to cater to the specific needs of operational kitchens.","true","mobile-kitchen","false","0","0","false","200","PASS","[]"
"page","/4500-correctional-facilities-series/","4500 Correctional Facilities Series","Review the 4500 Correctional Facilities Series for the temporary space your correctional operation requires. Discuss staff workflow, occupancy, controlled access and utilities, and confirm the actual modular configuration and applicable facility requirements before booking.","Hey, champions of safety and functionality! Say hello to the trendsetting 4500 Correctional Facilities Series at Temporary123. We’re all about adding a dash of wit and wisdom to your secure spaces, transforming confinement into clever and efficient workspaces.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/4500-military-series/","4500 Military Series","Review the 4500 Military Series workspace reference for field coordination and operational planning. Confirm the room arrangement, staff capacity, communications provisions, power and site access for the actual unit. The series label alone does not establish performance or mission readiness.","Attention, commanders and strategic leaders! Brace yourselves for the pinnacle of military workspace solutions – our unparalleled 4500 Military Series at Temporary123. Geared to elevate your military operations, this series is not just about spaces; it’s about fostering excellence, adaptability, and unbridled success in every mission.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/base-camps-for-rent/","Base Camps for Rent | Modular & Scalable Housing Solutions","Plan a rented base camp with modular housing and supporting facilities sized to the workforce. Identify sleeping occupancy, meal periods, hygiene requirements and the project phases, then confirm each unit's layout, utilities, delivery method and servicing responsibilities.","Welcome to Base Camps for Rent, your reliable source for modular, scalable, and fully-equipped base camp solutions designed to support teams in remote or temporary locations. Whether your needs involve disaster relief, construction projects, or exploration missions, our base camps provide comfortable and functional accommodations to keep your team productive and secure.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/camp-management-and-design/","Camp Management and Design","Plan camp management and design around how the workforce will live and operate on site. Map accommodation, meals, hygiene, circulation and servicing, then define management responsibilities, utility requirements and delivery phases for the proposed camp.","At Temporary 123, we take pride in our commitment to excellence when it comes to designing and constructing remote lodgings. Our dedicated team understands the unique challenges of providing safe, reliable, and clean accommodations for your workforce. With a wealth of expertise, we guarantee a seamless and efficient process in creating custom-designed land camps tailored to your specific needs.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/construction-man-camp-rentals/","Construction Man Camp Rentals | Workforce Housing for Construction Sites","Plan construction man-camp rental around peak crew numbers, shift changes and the duration of the build. Coordinate sleeping accommodation, meals and hygiene without obstructing construction traffic, then confirm each facility, utility connection and servicing responsibility for the actual job site.","Welcome to Construction Man Camp Rentals, your leading provider of flexible, durable, and fully-equipped workforce housing solutions for construction job sites. Whether you need accommodations for large crews, remote projects, or temporary operations, our man camps deliver comfort, security, and scalability to meet your requirements.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/disaster-relief-man-camp-workforce-rentals/","Emergency Response Trailer Rental","Plan emergency-response trailer rental around the facilities your response team needs first. Identify the required working, sleeping, food-service or hygiene functions, site access and known utilities. The rental team must confirm available equipment, setup responsibilities and dispatch timing for the conditions you report.","Emergency 24/7 rental support helps you plan Temporary Facilities to rent or lease when essential services are interrupted. Start with mobile commercial kitchens, shower and restroom combination trailers, shower trailers, and sleeper or bunkbed trailers for response teams. Coordinate food, hygiene and rest within an emergency base camp or man camp.","true","unspecified","false","1","6","false","200","PASS","[]"
"page","/equipment-rental-refrigeration-12ft-refrigerated-trailer/","12ft Refrigeration Trailer Rental","The 12ft Refrigeration Trailer option provides trailer-based refrigerated storage for temperature-sensitive supplies. Confirm temperature requirements, usable volume, loading access, electrical supply and trailer delivery space.","The 12ft Refrigeration Trailer provides compact temporary cold storage for businesses and events with limited space. Temporary123 lists adjustable cooling, optional freezer configurations and short- or long-term rental.","true","refrigerated-trailer","false","0","0","true","200","PASS","[]"
"page","/equipment-rental/breakroom-trailer/","Breakroom trailers Rental","Plan breakroom trailer rental around the number of people using the space during each break. The drawing is a layout reference, not a photograph. Confirm seating, counters, appliances, ventilation, utilities and the actual trailer dimensions.","A place for staff to take a break. Talk through seating, appliances and the number of people using the space.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/classroom-trailers/","Classroom trailers Rental","Plan classroom trailer rental around the teaching or training program, class size and seating arrangement. The displayed drawing is a classroom layout reference, not a photograph. Confirm the actual room dimensions, access, power, ventilation and delivery requirements before selecting a unit.","Temporary learning and training space. Start with class size, seating and the length of your program.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/fencing-barricades-trash-receptacles/","Fencing, barricades & receptacles Rental","Plan fencing, barricades and receptacles as separate site-control and waste-management items. The catalogue view shows barricades only. Confirm the specific products, boundaries, circulation routes, placement and servicing required for your site.","Organize boundaries, circulation and waste points. Share a site plan so placement can be discussed.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/generator-trailers/","Generator trailers Rental","Plan generator trailer rental around the connected equipment, starting loads and operating hours. Review the towable-generator reference and confirm output, voltage, connection arrangements, fuel, placement and servicing for the actual unit.","Temporary power for your equipment. Confirm electrical loads, connection requirements and operating hours.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/laundry-trailers/","Laundry Trailer Rental","Plan laundry trailer rental around workwear volume, crew size and the washing schedule. Review trailer-based washing and drying capacity, then confirm machine layout, power, water, drainage and service access. Container-based laundry is a different product type.","Mobile laundry facilities for workforce camps, emergency operations and long-duration projects.","true","laundry-trailer","false","0","0","false","200","PASS","[]"
"page","/equipment-rental/mobile-kitchen-trailers/","Kitchen Trailer Rental","Plan commercial kitchen trailer rental around the food you prepare and the service you need to maintain. Compare cooking and preparation layouts, then confirm appliance requirements, power, potable water, drainage, ventilation clearance and trailer access for the available unit.","Commercial mobile kitchen rentals for planned projects, renovations and emergency food service.","true","mobile-kitchen","false","0","0","false","200","PASS","[]"
"page","/equipment-rental/mobile-office-trailers/","Mobile office trailers Rental","Plan mobile office trailer rental for on-site desk work and coordination. Review the office reference and confirm workstation layout, occupancy, communications, power, ventilation and delivery access for the actual unit.","Workspace at the job site. Discuss desk space, occupancy and the utilities your team needs.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/modular-buildings/","Modular buildings Rental","Plan modular building rental around the activities, occupancy and space your operation needs. The image is a building-assembly reference, not a completed interior. Confirm the actual building system, room layout, utilities, transport and installation requirements.","Temporary building options for a changing operation. Share your space requirements and site details.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/modular-command-center-trailers/","Military command center trailers Rental","Plan command-center trailer rental around the coordination team, working areas and communications requirements. Review the labelled layout reference, then confirm the actual room arrangement, equipment, utilities and delivery footprint. The image does not establish mission capability or installed communications systems.","A starting point for a field coordination space. Discuss your operational and equipment requirements.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/ramp-rentals/","Ramp rentals","Plan ramp rental around the facility entrance, change in level and users who need access. Review the ramp and deck reference, then confirm dimensions, available approach space, installation and suitability for the specific access requirement.","Plan a suitable access route to your facilities. Confirm height, available space and user requirements.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/refrigeration/","Refrigerated Trailer Rental","Plan refrigerated trailer rental around the supplies you store, required temperatures and loading schedule. Confirm usable storage volume, electrical supply and trailer access. The separately labelled 20 ft container option uses an approved shared interior reference; no container exterior is pictured.","Temporary cold storage options for ingredients, prepared food and temperature-sensitive supplies.","true","refrigerated-trailer","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/restroom-trailers/","Restroom Trailer Rental","Plan restroom-only trailer rental for temporary toilet and handwashing access. Confirm stall count, accessible arrangements, privacy, water supply and wastewater servicing for the available unit. Shower/restroom combination options are separate products and do not establish a restroom-only configuration.","Restroom rental options use our shower and restroom combination trailers: 13 ft with 3 stalls, 22 ft with 6 stalls, 30 ft with 8 stalls, and accessible configurations.","true","restroom-trailer","false","0","0","false","200","PASS","[]"
"page","/equipment-rental/security-camera-trailers/","Security camera trailers Rental","Plan security-camera trailer rental around the areas you need to observe and the site operating schedule. Review placement, power, communications and monitoring responsibilities, then confirm the actual camera equipment and coverage with the supplier.","Camera trailer options for a temporary site. Discuss coverage areas, placement and monitoring needs.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/shower-trailer/","Emergency Shower Trailer Rental","Plan emergency shower trailer rental around the number of users, peak washing times and hot-water demand. Confirm the available shower-only configuration, water supply, wastewater servicing and delivery access. A shower container is a separate delivery option, not the same unit as the trailer.","Shower-only options include a 22 ft trailer with 10 stalls and a 20 ft container with 5 stalls.","true","shower-trailer","false","0","0","false","200","PASS","[]"
"page","/equipment-rental/stair-rentals/","Stair rentals","Plan stair rental for access to the selected temporary facility. Confirm the entry height, available landing space, expected users and installation requirements. A ramp photograph does not establish the required stair configuration; matching stair photography is pending.","Access steps for temporary facilities. Confirm platform heights and placement before delivery.","true","unspecified","false","0","0","true","200","PASS","[]"
"page","/equipment-rental/tent-structures/","Tent rentals","Plan a temporary tent structure around the intended operation, required covered area and site conditions. Review the interior reference and confirm footprint, installation access, anchoring, utilities and the requirements applicable to the actual location.","Covered temporary space for your operation. Discuss footprint, site conditions and the intended use.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/equipment-rental/wastewater-and-freshwater-container/","Wastewater & freshwater containers Rental","Plan water-storage and wastewater containers around the volume and type of water your site must handle. The exterior tank reference does not establish potable-water or wastewater suitability. Confirm the selected tank, connections, placement, collection and servicing responsibilities.","Water storage and wastewater support. Discuss expected usage, placement and servicing arrangements.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/facility-management-and-base-operations-support/","Facility Management and Base Operations Support","Define facility management and base-operations support around the functions your site needs to maintain. Agree responsibility for accommodation services, maintenance, utilities, supplies and daily coordination, together with staffing, schedules and the scope of the proposed service agreement.","Temporary 123 provides your workforce with the life support services needed to keep them safe, secure comfortable and happy in even the most severe and difficult environments. Our base support services are all encompassing and the quality of our services and personnel is outstanding.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/food-services-2/","Food Service Kitchen Trailer Lease","Lease a kitchen trailer to maintain food preparation and cooking during a renovation, interruption or temporary food-service operation. Plan the cooking line around your menu and meal volume, then confirm preparation space, food storage, utilities, ventilation and delivery access. The gallery shows identified kitchen equipment references.","Keep your food operation connected with Temporary Facilities for rent or lease. Food service rental options lead with mobile commercial kitchens, shower and restroom combination trailers, shower trailers, and sleeper or bunkbed trailers when staff need on-site support. Build the facility mix around the service you need to maintain.","true","mobile-kitchen","false","1","5","false","200","PASS","[]"
"page","/government-and-non-government/","Acquired Government and Non-Goverment Approvals","Review the government and non-government approval information presented for Temporary123. Check the current documents, issuing organization, validity and scope for your specific procurement or project; a listed approval should not be assumed to cover every facility or service.","Temporary 123 has the following government and non-government approvals :","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/government/","Government Temporary Facilities Rental","Plan government temporary facility rentals around the public service that must continue during maintenance, field work or an interruption. Specify the required working space, food-service, hygiene or accommodation functions, together with access controls and utility requirements. Confirm procurement documents and the available equipment for the actual project.","Plan public-service continuity with Temporary Facilities for rent or lease. Our rental services start with mobile commercial kitchens, shower and restroom combination trailers, shower trailers, and sleeper or bunkbed trailers. Discuss a coordinated base camp or man camp when multiple facilities are required at one location.","true","unspecified","false","1","5","false","200","PASS","[]"
"page","/government/correctional-facilities/","Correctional Facilities","Plan temporary space for correctional-facility operations, staff activities or renovation continuity. Specify the intended use, occupancy, controlled access, utilities and site constraints, then confirm the actual modular layout and applicable facility requirements. Equipment imagery does not establish security performance.","Our temporary facilities offer a secure and customizable solution for correctional facilities looking for additional space for inmates or staff. Whether you need to create space for a specific program, additional housing, or temporary facilities during renovations, our team can provide fully equipped modular units that are designed to meet the unique requirements of correctional facilities.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/government/hospitals/","Hospitals","Plan temporary facilities around the hospital function that must remain available during maintenance or disruption. Identify the required space, users, access, utilities and operating constraints, then confirm the actual equipment and project requirements. No clinical capability or healthcare approval is established by the images alone.","","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/government/military-kitchen/","Military Kitchen","Plan a military-kitchen project around the feeding requirement, menu and peak meal periods. Review cooking, preparation and food-storage space, then confirm the actual appliance line, utilities, transport and project-specific requirements. Equipment selection and any required approvals must be confirmed for the proposed installation.","Temporary 123 specializes in the United States Military feeding programs. The US military kitchen equipment typically consist of double stack convection ovens, tilt kettle, tilt skillets and double stack steamers. There are other specific health code regulations of the U.S required in a military kitchen facility.","true","mobile-kitchen","false","0","0","false","200","PASS","[]"
"page","/gsa-schedule/","GSA Schedule","Review the published GSA Schedule and supplier-document information for Temporary123. Confirm current contract details, the eligible purchasing route, available services and requirements with the rental team before relying on them for a procurement.","Temporary 123 Inc. is proud to be an approved GSA Schedule Contract Holder, making it easier and faster for federal, state, and local government agencies to procure our critical mobile facility services across the U.S. and Canada.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/hospitality/","Hospitality","Discuss hospitality support for a temporary or remote workforce location. Define the required food service, housekeeping, accommodation and daily support functions, then confirm staffing, site resources, service responsibilities and the scope available for your project.","Temporary 123, delivers the same hospitality services that you’d expect at a fine hotel. Excellent food, superior housekeeping, a variety of recreational activities and more. The distinction,is that we can provide these services in some of the most remote locations around the world.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/man-camp-rental/","Man Camp Rental | Workforce Housing for Remote Sites","Plan man-camp rental for crews working at remote job sites. Match sleeping accommodation to occupancy and shift patterns, then coordinate the required food-service, hygiene and utility facilities. Confirm each product's layout, transport method and servicing plan for the site and rental period.","Welcome to Mobile Man Camp Rental, your trusted source for portable, scalable, and fully-equipped workforce housing solutions designed to meet the needs of remote and temporary job sites. Whether you’re supporting oilfield operations, construction projects, or emergency response efforts, our mobile man camps deliver flexible and comfortable accommodations to keep your team operational and productive.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/man-camps-for-rent/","Construction Trailer Rental & Base Camp Facilities","Plan construction trailer rentals and base-camp facilities around the crew's working day. Define accommodation, meal preparation, hygiene, office and utility requirements separately, then coordinate the camp layout and delivery sequence. Confirm each available product and its capacity rather than treating different facilities as one unit.","Rent or lease Temporary Facilities around your crew's working day. Construction rental plans start with mobile commercial kitchens, shower and restroom combination trailers, shower trailers, and sleeper or bunkbed accommodation. Bring meals, hygiene and rest together in one base camp or man camp plan.","true","unspecified","false","1","1","false","200","PASS","[]"
"page","/mining-man-camp-rentals/","Mining Man Camp Rentals | Workforce Housing for Mining Operations","Plan mining man-camp rentals around crew rotations, occupancy and the phases of the mining project. Coordinate accommodation and the required meal, hygiene and utility functions, then review transport access, installation space and servicing responsibilities for the actual site.","Welcome to Mining Man Camp Rentals, your premier provider of flexible, durable, and fully-equipped workforce housing solutions for mining operations. Whether you need accommodations for exploration teams, drilling crews, or mining contractors, our man camps offer comfort, reliability, and scalability to meet your project’s requirements.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/mobile-kitchen-trailer-rental/","Mobile Kitchen Trailer Rental","Rent a mobile kitchen trailer to maintain commercial food preparation and cooking while permanent facilities are unavailable. Match the cooking line and preparation space to your menu, meal volume and service schedule, then confirm utilities, ventilation, delivery access and the available trailer configuration.","At Temporary 123, we provide reliable Mobile Kitchen Trailer Rental solutions for businesses, organizations, and project teams that need a fully functional commercial kitchen in a temporary or remote location. Our experienced team helps clients select and deploy the right Mobile Kitchen Trailer based on their operational requirements, available space, project duration, and food service needs.","true","mobile-kitchen","false","0","0","false","200","PASS","[]"
"page","/mobile-man-camp-for-lease/","Mobile Man Camp for Lease | Flexible Workforce Housing Solutions","Plan a mobile man-camp lease around workforce occupancy, project duration and any anticipated relocation. Coordinate sleeping accommodation with the required food-service, hygiene and utility facilities, then confirm delivery, setup, servicing and lease responsibilities for each product.","Welcome to Mobile Man Camp for Lease, your trusted provider of flexible, modular, and fully-equipped mobile accommodations designed to meet the housing needs of your workforce in remote or dynamic locations. Whether you’re overseeing oilfield projects, large-scale construction, or disaster recovery efforts, our mobile man camps offer an adaptable and efficient housing solution for your team, wherever they may be working.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/mobile-staffing/","Mobile Staffing","Discuss mobile staffing against the specific roles, skills and work schedule your project needs. Provide the location, assignment duration, supervision arrangements and required qualifications, then confirm personnel availability and responsibilities. Certifications and deployment arrangements must be checked for the actual assignment.","Temporary 123 has the resources, experience and capabilities to provide you with skilled and unskilled personnel anywhere in the world. Our workforce is a group of well-trained professionals with wide ranging expertise in diverse fields. We can offer multinational and multilingual staff per your specific requirements. Our professionals are all certified in their fields of expertise.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/mobile-units-for-disaster-relief-special-events/","Mobile Units for Disaster Relief & Special Events","Plan mobile accommodation and support units for disaster-relief teams or special-event operations. Specify the number of users, shift or event schedule, access conditions and utilities, then confirm the available unit's sleeping layout, servicing needs and delivery timing rather than assuming a particular bed capacity.","Temporary 123’s mobile sleeping units feature 14-bed or 42-bed units complete with an optional exterior hand washing unit which allows for on-site sanitation and personal care. These completely self-sufficient units have been instrumental for wildfire crews, remote man-camps, evacuations, and quarantine situations.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/modular-kitchen-facilities/","Modular Kitchen Facilities","Plan modular kitchen facilities for temporary cooking and food preparation in a building-based layout. Define the menu, production workflow, footprint and appliance requirements, then confirm installation, utilities, access and the actual modular configuration. Kitchen trailers are a separate form factor.","","true","kitchen-modular","false","0","0","false","200","PASS","[]"
"page","/oilfield-man-camp-rentals/","Oilfield Man Camp Rentals | Workforce Housing for Oilfield Projects","Plan oilfield man-camp rentals around crew rotations and the duration of drilling, pipeline or support work. Coordinate sleeping accommodation, meals, hygiene and utilities, then confirm access, placement, servicing and the facilities available for the actual project.","Welcome to Oilfield Man Camp Rentals, your trusted source for fully-equipped and scalable workforce housing solutions tailored for oilfield operations. Whether you need accommodations for drilling crews, exploration teams, or pipeline construction workers, our man camps provide comfort, security, and efficiency to keep your operations running smoothly.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/portable-dishwashing-trailer-rental/","Dishwashing Trailer Rental","Rent dedicated dishwashing trailer capacity for serviceware, utensils and kitchen equipment. Match the wash process and rack throughput to your operation, then confirm loading space, water temperature, power, drainage and trailer placement.","Portable dishwashing facilities for high-volume sanitation and food service support.","true","dishwashing","false","0","0","false","200","PASS","[]"
"page","/portable-man-camps-for-rent/","Portable Man Camps for Rent | Flexible Workforce Housing Solutions","Compare portable man-camp rental options for temporary workforce housing. Define crew occupancy, shift patterns and the required support functions, then confirm transport method, setup space, utilities and servicing for each accommodation and facility unit.","Welcome to Portable Man Camps for Rent, your go-to provider for flexible, modular, and fully-equipped workforce housing solutions. Whether you need temporary accommodations for oilfield crews, construction teams, or disaster relief operations, our portable man camps deliver comfort, functionality, and scalability to meet your project’s demands.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/remote-basecamp-temporary-housing-rent-mobile-trailers-modular-buildings-restroom-shower-laundry-dining-temporary-building-rentals/","Remote Basecamp Temporary Housing, Mobile Trailers & Modular Building Rentals","Plan remote-basecamp temporary housing with clearly identified mobile trailers and modular-building options. Match accommodation, washing, laundry and dining requirements to the crew and operating schedule, then confirm each product's layout, delivery method, utilities and servicing for the actual site.","Temporary 123 provides complete temporary facility solutions, including remote basecamp housing, mobile trailers, modular buildings, restroom and shower trailers, laundry facilities, and temporary dining buildings for construction, emergency response, and workforce projects.","true","unspecified","false","0","0","false","200","PASS","[]"
"page","/remote-containerized-military-berthing-solution-for-rent/","Containerized Sleeper Units Rental","The Containerized Sleeper Units option provides container-based crew accommodation. Confirm the bunk layout, privacy, ventilation, occupancy and container lifting or placement requirements.","Containerized Sleeper Units provide insulated accommodation with bunk beds, climate control and personal storage. The reference describes power and lighting for longer worksites and temporary deployments.","true","sleeper-container","false","1","2","false","200","PASS","[]"
"page","/remote-man-camp-for-rent/","Remote Man Camp for Rent | Workforce Housing for Remote Locations","Plan a remote man camp for rent around the workforce that will stay on site. Separate sleeping, meal, washing and daily support needs, then review transport access, available utilities and servicing responsibilities before selecting the actual camp facilities.","Welcome to Remote Man Camp for Rent, your reliable provider of comfortable, modular, and fully-equipped accommodations designed to meet the workforce housing needs in remote locations. Whether you’re managing oilfield operations, large-scale construction projects, or emergency relief efforts, our remote man camps offer flexible and convenient housing solutions tailored to support your workforce in challenging environments.","true","unspecified","false","0","0","false","200","PASS","[]"
