id,family,model,view,original,reason
"15.01","mobile-kitchen","model-15","interior","/media/equipment-drive/mobile-kitchens/40ft-bulk-combo-kitchen/mobile-commercial-kitchen-steam-kettle-stainless-prep-table.png","Exact duplicate of 15.03."
"16.02","mobile-kitchen","model-16","diagram","/media/equipment-drive/mobile-kitchens/40ft-bulk-kitchen/Layout1 (1).jpg","Supporting diagram/product illustration, not verified facility photography."
"16.03","mobile-kitchen","model-16","diagram","/media/equipment-drive/mobile-kitchens/40ft-bulk-kitchen/Layout1.jpg","Supporting diagram/product illustration, not verified facility photography."
"16.04","mobile-kitchen","model-16","diagram","/media/equipment-drive/mobile-kitchens/40ft-bulk-kitchen/Layout2 (1).jpg","Supporting diagram/product illustration, not verified facility photography."
"16.05","mobile-kitchen","model-16","diagram","/media/equipment-drive/mobile-kitchens/40ft-bulk-kitchen/Layout2.jpg","Supporting diagram/product illustration, not verified facility photography."
"16.06","mobile-kitchen","model-16","diagram","/media/equipment-drive/mobile-kitchens/40ft-bulk-kitchen/Layout3 (1).jpg","Supporting diagram/product illustration, not verified facility photography."
"16.07","mobile-kitchen","model-16","diagram","/media/equipment-drive/mobile-kitchens/40ft-bulk-kitchen/Layout3.jpg","Supporting diagram/product illustration, not verified facility photography."
"17.04","mobile-kitchen","model-17","exterior","/media/equipment-drive/mobile-kitchens/40ft-mobile-combo-kitchen/mobile-commercial-kitchen-trailer-exterior-entrance.png","Grass/yard exterior lacks verified commercial setting."
"17.05","mobile-kitchen","model-17","exterior","/media/equipment-drive/mobile-kitchens/40ft-mobile-combo-kitchen/mobile-commercial-kitchen-trailer-exterior-hvac.png","Wooded/driveway exterior lacks verified commercial setting."
"18.04","mobile-kitchen","model-18","diagram","/media/equipment-drive/mobile-kitchens/40ft-mobile-kitchen/Layout1.jpg","Supporting diagram/product illustration, not verified facility photography."
"18.05","mobile-kitchen","model-18","diagram","/media/equipment-drive/mobile-kitchens/40ft-mobile-kitchen/Layout2 (1).jpg","Supporting diagram/product illustration, not verified facility photography."
"20.04","shower-container","model-20","interior","/media/equipment-drive/shower-containers/20ft-shower-container-5-stalls/shower-container-rental-private-stalls.png","Near-duplicate of the same shower-container view in 20.02."
"21.03","shower-trailer","model-21","exterior","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/portable-shower-trailer-multiple-private-stalls.png","Composite callout repeats an already included shower interior/exterior."
"21.06","shower-trailer","model-21","exterior","/media/equipment-drive/shower-trailers/20-ft-shower-trailer-5-stalls-with-handwashing-sink/shower-trailer-exterior-with-sink-area.png","Composite callout repeats an already included sink/exterior view."
"22.03","contractor-accommodation","model-22","interior","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-contractor/20ft-accommodation-unit-four-bed-interior.png","Identical interior reused under contractor, VIP and sleeper labels; model association unresolved."
"23.01","vip-accommodation","model-23","diagram","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-bunk-bed-dimensions.png","Supporting diagram/product illustration, not verified facility photography."
"23.02","vip-accommodation","model-23","diagram","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-bunk-bed-frame.png","Supporting diagram/product illustration, not verified facility photography."
"23.03","vip-accommodation","model-23","interior","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-bunk-room-interior.png","Duplicate cross-category accommodation image; VIP identity unsupported."
"23.04","vip-accommodation","model-23","interior","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-bunk-room-side-view.png","Duplicate cross-category accommodation image; VIP identity unsupported."
"23.05","vip-accommodation","model-23","interior","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-four-bed-interior.png","Duplicate cross-category accommodation image; VIP identity unsupported."
"23.06","vip-accommodation","model-23","interior","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-multiple-bunk-beds.png","Communal multi-bunk layout is not a verified VIP/private-room configuration."
"23.08","vip-accommodation","model-23","interior","/media/equipment-drive/sleeper-and-accommodation/20ft-accommodation-vip/20ft-vip-accommodation-trailer-bunk-bed.png","Different bunk-room configuration; cannot associate with the private VIP room."
"24.02","sleeper-container","model-24","exterior","/media/equipment-drive/sleeper-and-accommodation/sleeper-trailer-2-stalls/sleeper-trailer-2-stall-delivery-view.png","Container transported on a separate flatbed; not a sleeper trailer."
"24.03","sleeper-container","model-24","exterior","/media/equipment-drive/sleeper-and-accommodation/sleeper-trailer-2-stalls/sleeper-trailer-2-stall-exterior-with-bunk-room.png","Composite of a container and a reused interior; exact association unverified."
"24.04","sleeper-container","model-24","exterior","/media/equipment-drive/sleeper-and-accommodation/sleeper-trailer-2-stalls/sleeper-trailer-2-stall-flatbed-transport.png","Container transported on a separate flatbed; not a sleeper trailer."
"24.05","sleeper-container","model-24","interior","/media/equipment-drive/sleeper-and-accommodation/sleeper-trailer-2-stalls/sleeper-trailer-2-stall-four-bunk-interior.png","Cross-category duplicate interior; not evidence of a wheeled sleeper trailer."
"24.09","sleeper-container","model-24","exterior","/media/equipment-drive/sleeper-and-accommodation/sleeper-trailer-2-stalls/sleeper-trailer-2-stall-transport-delivery.png","Container transported on a separate flatbed; not a sleeper trailer."
"25.01","water-tank","model-25","exterior","/media/equipment-drive/water-tanks/water-tank/mobile-water-storage-tank-trailer-setup.png","Single-tank close view not combined with a two-tank configuration."
"25.03","water-tank","model-25","exterior","/media/equipment-drive/water-tanks/water-tank/portable-water-tanks-with-pump-and-hoses.png","Kitchen trailer dominates a mixed-equipment composition."
"25.04","water-tank","model-25","exterior","/media/equipment-drive/water-tanks/water-tank/temporary-water-storage-tanks-mobile-water-trailer.png","Kitchen trailer dominates a mixed-equipment composition."
"25.05","water-tank","model-25","exterior","/media/equipment-drive/water-tanks/water-tank/temporary-water-storage-tanks-rental-system.png","Different visible tank configuration; do not combine with selected two-tank view."
"catalog-sleeper","sleeper-trailer","sleeper-four-room","exterior","/images/catalog/mobile-sleep-trailers-960.webp","Branded reference corroborates 23.09; duplicate view is not added to the carousel."
"catalog-shower","shower-trailer","model-21","interior","/images/catalog/shower-trailer-960.webp","Category-approved derivative of the same shower view as 21.01; do not duplicate."
