"current_url","page_family","page_type","search_intent","current_h1","h1_count","proposed_h1","target_service_equipment_family","city_state_facility_context","supporting_copy_revision","claim_or_decision_flag"
"/services/","services hub","service directory","compare nationwide temporary facility services","Temporary facilities for the whole project.","1","Nationwide Temporary Facility Rental Services","multi-family","commercial institutional and remote operations","Introduce service families and project triggers without keyword dumping","None"
"/services/dishwashing-trailers/22ft/","service model","dishwashing trailer","rent a 22 ft commercial dishwashing facility","22ft Dishwashing Trailer Rental","1","22 ft Commercial Dishwashing Trailer Rental","dishwashing/warewashing","temporary food operations renovation emergency kitchen","Describe wash rinse dry workflow documented machine and utilities","CMA Hobart Champion Jackson and flight-machine terms require unit proof"
"/services/mobile-kitchen-trailers/40ft/","service model","mobile kitchen trailer","rent a 40 ft commercial kitchen trailer","40ft Mobile Kitchen Trailer Rental","1","40 ft Commercial Mobile Kitchen Trailer Rental","kitchen","high-volume temporary food service","Add documented layout meal workflow utilities and site planning","Verify capacity equipment and availability"
"/services/mobile-sleeper-trailers/20ft-shared/","service model","shared sleeper trailer","rent shared workforce sleeping accommodation","20ft Shared Sleeper Trailer Rental","1","20 ft Shared Sleeper and Bunkbed Trailer Rental","sleeper","remote workforce and base camps","Explain documented occupancy privacy shifts utilities and support services","Verify exact sleeping capacity"
"/services/shower-trailers/22ft-10-stall/","service model","flagship shower-only trailer","rent a 22 ft 10-stall shower trailer","22 ft Shower Trailer, 10 Stalls Rental","1","22 ft 10-Stall Shower Trailer Rental","shower","construction man camp renovation emergency base camp","Add utilities peak-use cleaning wastewater access and availability language","Flagship and three-hand-sink claims need owner equipment sheet"
"/services/shower-restroom-combination-trailers/22ft-6-stall/","service model","combination trailer","rent a 22 ft shower and restroom combination","22 ft Luxury Shower and Restroom Combination Trailer, 6 Stalls Rental","1","22 ft Shower and Restroom Combination Trailer Rental — 6 Stalls","shower/restroom combination","commercial institutional and workforce hygiene","Explain documented layout utilities servicing and privacy","Verify luxury label and configuration"
"/services/shower-restroom-combination-trailers/3-stall-1-ada/","service model","accessible combination trailer","rent an ADA shower/restroom combination","Luxury Shower and Restroom Combination Trailer, 3 Stalls + 1 ADA Rental","1","ADA Shower and Restroom Combination Trailer Rental — 3 Stalls + 1 ADA","ADA shower/restroom combination","accessible temporary hygiene planning","Describe documented unit features and site review responsibilities","Do not guarantee site compliance"
"/industries/","industry hub","commercial sector directory","temporary facilities by industry","Facilities shaped around your industry.","1","Commercial and Institutional Temporary Facility Rental","multi-family","healthcare education correctional government military construction hospitality industrial","Give each sector an operational reason for rental and link to the right service family","Industry claims require supporting evidence"
"/government/","industry detail","government/public service","rent temporary facilities for public operations","Government Temporary Facilities Rental","1","Government Temporary Facility Rental and Leasing","multi-family","public-service continuity procurement renovation emergency","Add purchasing access utilities responsibilities and conservative eligibility language","Verify procurement and contract claims"
"/government/hospitals/","institutional recovered page","hospital continuity","rent temporary facilities for hospital operations","Hospitals","1","Hospital Temporary Facility Rental","kitchen/dishwashing/refrigeration/hygiene","hospital renovation outage and continuity","Rebuild with verified hospital workflow access utilities infection-control coordination and approval boundaries","Severe thin-content gap; institutional claims need review"
"/government/military-kitchen/","institutional recovered page","military food operations","rent a military mobile kitchen facility","Military Kitchen","1","Military Mobile Kitchen Facility Rental","kitchen","military field and installation food-service support","Use documented equipment procurement access and utility requirements","Do not imply universal military approval or contract eligibility"
"/government/correctional-facilities/","institutional recovered page","correctional continuity","rent secure temporary kitchen and support facilities","Correctional Facilities","1","Correctional Facility Temporary Kitchen and Support Rental","kitchen/multi-family","correctional renovation continuity staff/inmate service","Add secure access separation food workflow utilities and agency approval responsibilities","Do not guarantee security or compliance"
"/man-camp-rental/","recovered root service","remote workforce camp","rent man camp and workforce housing","Man Camp Rental | Workforce Housing for Remote Sites","1","Remote Man Camp and Life-Support Facility Rental","man camp/life support","remote construction mining oilfield emergency workforce","Separate equipment rental from optional managed services and define proposal scope","Verify fully equipped turnkey and capacity claims"
"/facility-management-and-base-operations-support/","recovered root service","life-support operations","procure base-camp life-support services","Facility Management and Base Operations Support","1","Remote Base-Camp Life-Support Services","man camp/life support","remote multi-facility operations","Explain food hygiene accommodation utilities staffing and management as selectable scope","Verify worldwide staffing and service claims"
"/food-services-2/","industry/recovered service","temporary food service","lease kitchen and supporting food-service facilities","Food Service Kitchen Trailer Lease","1","Commercial Kitchen and Food-Service Trailer Leasing","kitchen/dishwashing/refrigeration","renovation equipment failure health closure hospitality","Add menu meal-volume receiving cold storage warewashing utilities and inspection planning","Do not imply permission to reopen"
"/portable-dishwashing-trailer-rental/","recovered root service","dishwashing/warewashing","rent a commercial dishwashing trailer","Dishwashing Trailer Rental","1","Commercial Dishwashing and Warewashing Trailer Rental","dishwashing/warewashing","renovation emergency kitchen institutional food service","Add commercial workflow construction/renovation continuity and documented machine details","Brand/model claims require unit proof"
"/20ft-refrigeration-trailers/","recovered root product","refrigeration trailer","rent a 20 ft refrigeration trailer","20ft Refrigeration Trailer Rental","1","20 ft Commercial Refrigeration Trailer Rental","refrigeration","temporary kitchen outdoor and emergency cold storage","Add documented placement power monitoring access and supported temperature use","Verify technical specifications"
"/mobile-kitchen-trailer-rental/","recovered root service","mobile kitchen","rent a mobile commercial kitchen","Mobile Kitchen Trailer Rental","1","Commercial Mobile Kitchen Trailer Rental","kitchen","construction renovation emergency institutional","Differentiate from category hub with service process and operational triggers","Preserve exact URL pending authority review"
"/shower-trailer-rental/","recovered root service","shower trailer","rent commercial temporary showers","Shower Trailer Rental","1","Commercial Shower Trailer Rental","shower","construction renovation man camp emergency","Connect to verified 22 ft model and utility/servicing plan","Preserve exact URL; verify flagship and sink claim"
"/restroom-trailer-rental/","recovered root service","restroom trailer","rent commercial temporary restrooms","Restroom Trailer Rental","1","Commercial Restroom Trailer Rental","restroom","construction institutional workforce emergency","Differentiate restroom-only and combination facilities","Preserve exact URL; verify configurations"
"/sleeper-trailer-rental/","recovered root service","sleeper trailer","rent workforce sleeper/bunkbed facilities","Sleeper Trailer Rental","1","Sleeper and Bunkbed Trailer Rental","sleeper","remote workforce construction emergency base camp","Explain occupancy shifts privacy and related hygiene/food services","Preserve exact URL; verify capacities"
"/service-areas/","service-area hub","coverage directory","find nationwide temporary facility service areas","Temporary Facility Rental Across the United States","1","Nationwide Temporary Facility Rental Service Areas","multi-family","United States states regions and reviewed cities","Explain coverage planning and route users to distinct state and city pages","Do not imply guaranteed availability everywhere"
"/service-areas/alabama/","state landing","state service intent","rent emergency shower facilities in Alabama","Alabama Emergency Shower Trailer Rental","1","Alabama Emergency Shower Trailer Rental","shower","Alabama commercial institutional construction and base-camp sites","Support primary shower intent with state-relevant operational planning and secondary family links","Verify local statements before publication"
"/service-areas/arizona/","state landing","state broad intent","lease temporary facilities in Arizona","Arizona Temporary Facilities Lease","1","Arizona Temporary Facility Rental and Leasing","multi-family","Arizona commercial institutional and remote sites","Use broad multi-family copy unless a service assignment is approved","Generated-pattern decision required"
"/service-areas/florida/","state landing","state emergency intent","rent emergency temporary facilities in Florida","Florida Emergency Trailer Rental","1","Florida Emergency Temporary Facility Rental","multi-family/emergency","Florida emergency commercial and institutional continuity","Specify supported emergency families in body copy without guaranteed dispatch claims","Generated-pattern decision required"
"/service-areas/washington/","state landing","state hygiene intent","rent shower/restroom combination trailers in Washington","Washington Shower and Restroom Trailer Rental","1","Washington Shower and Restroom Combination Trailer Rental","shower/restroom combination","Washington commercial institutional workforce sites","Keep primary hygiene intent and add related kitchen sleeper laundry dishwashing refrigeration links","Verify state-specific claims"
"/service-areas/washington/olympic-peninsula/","region landing","regional hygiene intent","rent shower/restroom combination trailers in the Olympic Peninsula","Olympic Peninsula, Washington Shower and Restroom Trailer Rental","1","Olympic Peninsula, Washington Shower and Restroom Combination Trailer Rental","shower/restroom combination","Olympic Peninsula commercial institutional and base-camp sites","Use access utilities servicing weather and operational context rather than tourism narration","Verify regional logistics"
"/service-areas/washington/olympic-peninsula/cities/","region city directory","navigation","find facility-rental city pages","Olympic Peninsula, Washington Facility Rental Locations","1","Temporary Facility Rental Locations in the Olympic Peninsula, Washington","multi-family","reviewed cities in region","Keep concise directory intent and explain what reviewed city pages cover","Exclude from product keyword rotation"
"/service-areas/washington/olympic-peninsula/port-angeles/","reviewed city","commercial kitchen","rent a commercial mobile kitchen in Port Angeles","Port Angeles, Washington Mobile Kitchen Trailer Rental","1","Port Angeles, Washington Commercial Mobile Kitchen Trailer Rental","kitchen","Port Angeles commercial institutional base-camp operations","Retain kitchen primary and connect dishwashing refrigeration shower laundry sleeper support naturally","Verify waterfront US 101 and three-sink statements"
"/service-areas/washington/olympic-peninsula/sequim/","reviewed city","multi-family","rent temporary facilities in Sequim","Sequim, Washington Temporary Facility Rental","1","Sequim, Washington Temporary Facility Rental and Leasing","multi-family","Sequim commercial institutional and workforce sites","Choose a service family only if an approved operational brief supports it","Primary-family decision required"
"/service-areas/washington/puget-sound/seattle/","reviewed city","multi-family","rent temporary facilities in Seattle","Seattle, Washington Temporary Facility Rental","1","Seattle, Washington Commercial Temporary Facility Rental","multi-family","Seattle commercial institutional construction renovation","Add distinct operational evidence and remove generic metropolitan text","Primary-family decision and local verification required"
"/service-areas/washington/puget-sound/tacoma/","reviewed city","workforce accommodation","rent sleeper/bunkbed trailers in Tacoma","Tacoma, Washington Sleeper Bunkbed Trailer Rental","1","Tacoma, Washington Sleeper and Bunkbed Trailer Rental","sleeper","Tacoma workforce base-camp and extended project support","Keep accommodation primary and link hygiene food laundry refrigeration by workflow","Verify local logistics and capacities"
"/service-areas/washington/puget-sound/olympia/","reviewed city","combination hygiene","rent shower/restroom combination trailer in Olympia","Olympia, Washington Shower and Restroom Trailer Rental","1","Olympia, Washington Shower and Restroom Combination Trailer Rental","shower/restroom combination","Olympia government institutional construction renovation","Keep combination unit primary and add utilities access servicing and supporting facilities","Verify local and institutional statements"
"/rental-calculator/","utility/calculator","nationwide estimator","calculate starting facility rental and delivery estimate","Nationwide Temporary Facility Rental and Delivery Calculator","1","Nationwide Temporary Facility Rental and Delivery Calculator","multi-family","nationwide state city ZIP equipment dates length people","Keep stable H1 and readable static service/location HTML without keyword dumping","No H1 change proposed"
"/about-us/","company","brand trust","understand Temporary123 capabilities","Temporary facilities built around the work.","1","Commercial Temporary Facility Rental Support Nationwide","multi-family","company capability and operating approach","Explain what is rented versus coordinated and document service boundaries","Verify company history and capability claims"
"/contact-us/","utility/contact","contact rental team","contact Temporary123 for project planning","The right facilities start here.","1","Contact Temporary123 for Temporary Facility Rental","multi-family","nationwide project intake","State response and availability boundaries and required project details","Do not promise response or delivery time without evidence"
"/planning/","utility/planning","project planning guide","plan a temporary base camp or facility rental","Bring the essentials. We’ll take it from there.","1","Temporary Facility Rental and Base-Camp Planning Guide","multi-family","site access utilities headcount schedule and servicing","Turn brand copy into a practical planning checklist across all service families","Verify responsibility boundaries"
"/privacy/","policy","privacy information","read privacy policy","Privacy","1","Privacy","none","legal/policy","Exclude from keyword rotation and have policy reviewed separately","No SEO-keyword change"
